"id_marine";"identifier";"mmsi";"name";"flag";"type";"length";"port";"col11";"col12";"col13";"col14";"col15"
"1914";"301793";"256461000";"KIRAN EURASIA";"MT";"7";"229";"VANCOUVER";"32";"197";"24";"56";"0"
"1915";"661115";"431001715";"CHOUKAI MARU";"JP";"8";"70";"JP.AFG";"12";"54";"3";"235";"0"
"1916";"465344";"373617000";"GLORIOUS JUPITER";"PA";"7";"157";"RU PSE";"27";"134";"18";"284";"0"
"1917";"713488";"538004288";"Q IOANARI";"MH";"7";"229";"KR PUS";"32";"194";"7";"233";"0"
"1918";"289709";"249819000";"CMA CGM LIBRA";"MT";"7";"363";"VOSTOCHNY";"46";"276";"14";"247";"3"
"1919";"758133";"256266000";"SHANGHAI TRADER";"MT";"7";"294";"BUSAN";"32";"220";"12";"224";"3"
"1920";"689348";"477770200";"MAERSK STOCKHOLM";"HK";"7";"334";"BUSAN";"46";"242";"14";"238";"0"
"1921";"465026";"373442000";"EMERALD STAR";"PA";"7";"229";"CN TXG";"32";"203";"20";"250";"0"
"1922";"416240";"355224000";"CRANE ROPROSS";"PA";"8";"120";"KR USN";"20";"98";"15";"239";"0"
"1923";"409841";"352493000";"ACX SATSUMA";"PA";"7";"124";"JP KIJ EW";"18";"107";"6";"233";"0"
"1924";"152860";"218694000";"CMA CGM VELA";"DE";"7";"347";"CAVAN > CNNGB";"43";"258";"23";"232";"0"
"1925";"661886";"431004526";"NO.15 HOKUNANMARU";"JP";"8";"43";"";"7";"32";"6";"61";"0"
"1926";"410486";"352808000";"KAIJIN";"PA";"7";"196";"US TIW";"29";"59";"15";"53";"0"
"1927";"1179344";"431005211";"SEIMEI";"JP";"7";"80";"JP HKP OFF";"14";"65";"4";"51";"0"
"1928";"663827";"431500148";"RYUEI MARU N0.8";"JP";"8";"75";"JP HKP 1";"11";"60";"3";"268";"0"
"1929";"660608";"431000445";"NATCHAN WORLD";"JP";"4";"112";"JP HKP 4";"30";"50";"15";"145";"0"
"1930";"661637";"431003651";"NAIKAI MARU NO.3";"JP";"8";"71";"JP AOM OFF";"12";"53";"9";"172";"0"
"1931";"3625169";"431006908";"RYUSHOU";"JP";"7";"70";"JP HKP 4";"12";"58";"3";"10";"0"
"1932";"685718";"477114300";"DIAMOND HARBOUR";"HK";"7";"180";"KULTOS COVE>KRINC";"28";"160";"8";"267";"0"
"1933";"193712";"235065043";"CMA CGM VIRGINIA";"GB";"7";"294";"PAPTY";"32";"223";"20";"84";"0"
"1934";"664254";"431600258";"SENPO MARU";"JP";"7";"115";"JP HKP KAMIISO";"18";"89";"14";"291";"0"
"1935";"463458";"372780000";"NORD PEGASUS";"PA";"7";"225";"NINGBO,CHINA";"32";"193";"14";"262";"0"
"1936";"661844";"431004372";"KINYU MARU NO12";"JP";"8";"104";"JP AOM OFF";"16";"85";"13";"286";"0"
"1937";"661009";"431001206";"SUZUKA MARU";"JP";"8";"70";"JP SGM/JX 6-H";"11";"56";"2";"107";"0"
"1938";"515828";"412420155";"ZHEPUYULENG208";"CN";"0";"72";"AUAN";"13";"55";"8";"81";"0"
"1939";"674627";"441978000";"SUN DAISY";"KR";"8";"103";"JP TMK";"18";"81";"16";"52";"0"
"1940";"690027";"477883400";"JIN YI";"HK";"7";"190";"ROBERT BANK";"32";"163";"20";"75";"0"
"1941";"661218";"431002295";"KOUEIMARU";"JP";"7";"78";"JP HKP 4";"14";"64";"3";"282";"0"
"1942";"350725";"273449080";"SORAKSAN";"RU";"7";"127";"BERING SEA";"18";"90";"4";"70";"2"
"1943";"660521";"431000312";"DAI1HOUYOSHIMARU";"JP";"8";"79";"JP SGM OFF";"12";"63";"9";"107";"0"
"1944";"384899";"319054200";"SUN VIL II";"KY";"7";"190";"MX ZLO";"33";"162";"22";"51";"0"
"1945";"419065";"356636000";"NO.1 BARON";"PA";"7";"121";"BUSAN,S.KOR";"17";"98";"5";"282";"0"
"1946";"1037276";"373540000";"ENDEAVOR SKY";"PA";"7";"235";"KR PUS>CA PRR";"38";"201";"14";"54";"0"
"1947";"664753";"431800063";"ETOMO";"JP";"3";"78";"JP NAH S";"9";"30";"6";"256";"0"
"1948";"660799";"431000766";"KOYO MARU NO.7";"JP";"8";"90";"JP FTX OFF";"14";"71";"6";"287";"0"
"1949";"662065";"431005238";"ZUISEN MARU";"JP";"8";"80";"JP TMK OFF";"12";"64";"3";"64";"0"
"1950";"663825";"431500144";"SYOUYU MARU";"JP";"8";"105";"JP KIJ OFF";"15";"93";"12";"55";"0"
"1951";"3675627";"247190800";"ITAL LIRICA";"IT";"7";"294";"BALBOA";"32";"223";"17";"54";"-4"
"1952";"2290614";"431006129";"SANNOU NO.5";"JP";"0";"80";"JP MUR OFF";"13";"70";"4";"325";"-720"
"1953";"689305";"477765900";"COSCO ADEN";"HK";"7";"261";"BALBOA";"32";"190";"19";"65";"0"
"1954";"121637";"209162000";"AFRICA GRAECA";"CY";"7";"225";"PUSAN,KOREA";"32";"193";"16";"267";"0"
"1955";"734427";"567483000";"INTRA BHUM";"TH";"7";"144";"TOMAKOMAI JAPAN";"22";"118";"16";"103";"0"
"1956";"663197";"431301776";"NORTH PIONEER";"JP";"8";"89";"JP HKP OFF";"16";"69";"3";"27";"0"
"1957";"701364";"515747000";"SHENG HAI";"KH";"7";"73";"JP FNB OFF";"12";"55";"6";"56";"0"
"1958";"663305";"431400046";"YUTOKU MARU";"JP";"8";"72";"JP AOM";"13";"60";"7";"89";"0"
"1959";"662038";"431005151";"KYORIKI";"JP";"7";"75";"JP MUR";"12";"61";"4";"333";"0"
"1960";"420539";"357299000";"AMELIA";"PA";"8";"149";"ULSAN";"24";"130";"10";"268";"0"
"1961";"664065";"431501702";"TAIKO MARU";"JP";"8";"76";"JP OTR OFF";"12";"64";"7";"287";"0"
"1962";"345906";"273312950";"ORION";"RU";"7";"96";"SENDAI";"14";"74";"2";"59";"0"
"1963";"663803";"431500077";"SYOKEI";"JP";"8";"70";"JP ANE OFF";"12";"57";"5";"56";"0"
"1964";"555827";"413159000";"XIN OU ZHOU";"CN";"7";"335";"PRR";"43";"246";"20";"51";"0"
"1965";"418615";"356410000";"MARGRETH PISSAREK";"PA";"7";"229";"ULSAN, KOREA";"32";"196";"11";"55";"0"
"1966";"660979";"431001112";"NO.10 HASSHOMARU";"JP";"8";"105";"JP AFG";"16";"86";"3";"151";"0"
"1967";"662059";"431005228";"MIYAJIMA";"JP";"7";"76";"JP KIS OFF";"14";"67";"3";"153";"0"
"1968";"757464";"636090922";"JULIETTE RICKMERS";"LR";"7";"294";"BUSAN";"32";"202";"21";"279";"0"
"1969";"661426";"431002986";"RYUEI";"JP";"7";"80";"JP ABA";"15";"63";"3";"284";"-720"
"1970";"662162";"431005507";"MATSUYAMA MARU NO.12";"JP";"8";"105";"JP KSM OFF";"16";"79";"3";"151";"0"
"1971";"418784";"356509000";"HANJIN GDYNIA";"PA";"7";"261";"BALBOA,PANAMA CANAL";"32";"193";"10";"50";"0"
"1972";"664780";"431800677";"SHOHO MARU";"JP";"8";"105";"JP AFG";"15";"81";"5";"194";"0"
"1973";"663442";"431400523";"SEIHOU MARU";"JP";"8";"71";"JP AOM OFF";"12";"58";"5";"194";"0"
"1974";"688499";"477633300";"LUZON STRAIT";"HK";"7";"176";"NANAIMO";"29";"148";"16";"63";"0"
"1975";"458311";"370290000";"NAVIOS POLLUX";"PA";"7";"292";"SINGAPORE";"45";"249";"15";"70";"0"
"1976";"727801";"564169000";"KITI BHUM";"SG";"7";"136";"ULSAN KOREA";"22";"119";"10";"205";"0"
"1977";"303060";"256888000";"CMA CGM MELISANDE";"MT";"7";"335";"SEATTLE";"43";"244";"27";"52";"0"
"1978";"345476";"273195200";"KRYMSKIY";"RU";"2";"55";"U KE";"10";"15";"3";"58";"0"
"1979";"661499";"431003181";"SHINKOMARU NO8";"JP";"8";"80";"JP KIJ OFF";"12";"58";"4";"282";"0"
"1980";"2460378";"431006084";"HIDAKA";"JP";"6";"179";"JP TRG";"27";"23";"0";"192";"0"
"1981";"662523";"431100967";"KAKUHO MARU";"JP";"8";"105";"JP KWS";"16";"80";"3";"150";"0"
"1982";"351341";"273811060";"VASILYEVSKIY OSTROV";"RU";"2";"104";"PUSAN";"16";"42";"8";"56";"0"
"1983";"733016";"566747000";"OOCL KUALA LUMPUR";"SG";"7";"281";"CNNGB";"40";"210";"14";"277";"0"
"1984";"664455";"431602142";"TSURUFUJIMARU";"JP";"8";"105";"JP TMK S";"16";"80";"4";"57";"0"
"1985";"757441";"636090893";"BANZAI";"LR";"7";"225";"BUSAN";"32";"112";"16";"268";"0"
"1986";"665682";"432977000";"ARCADIA SALUTE";"JP";"7";"235";"REIHOKU JPN";"38";"202";"25";"269";"0"
"1987";"664744";"431800034";"HOKUSHIN MARU";"JP";"8";"105";"JP RMI";"16";"80";"8";"234";"0"
"1988";"661207";"431002261";"MIYA MARU NO.1";"JP";"8";"105";"JP MUR OFF";"16";"78";"2";"319";"0"
"1989";"664087";"431501744";"TAKUMI MARU";"JP";"3";"32";"JP HKP XX";"18";"97";"13";"290";"0"
"1990";"663353";"431400185";"EKOU MARU";"JP";"8";"90";"JP HKP OFF";"13";"66";"3";"282";"720"
"1991";"3403749";"355813000";"MSC MAXINE";"PA";"7";"300";"SHANGHAI";"48";"110";"13";"266";"0"
"1992";"660796";"431000763";"HOSHO MARU";"JP";"7";"73";"JP HKP";"12";"64";"2";"295";"0"
